"Start Date","Start Time","End Date","End Time","Duration (h)","Duration (decimal)","Billable Rate (USD)","Billable Amount (USD)"
"30/03/2024","11:15:30","30/03/2024","14:46:30","03:31:00","3.52","0.00","0.00"
"29/03/2024","10:21:00","29/03/2024","15:39:44","05:18:44","5.31","0.00","0.00"
"28/03/2024","09:50:00","28/03/2024","12:33:00","02:43:00","2.72","0.00","0.00"
"27/03/2024","10:27:59","27/03/2024","12:25:32","01:57:33","1.96","0.00","0.00"
"26/03/2024","14:06:42","26/03/2024","17:59:51","03:53:09","3.89","0.00","0.00"
"25/03/2024","16:56:27","25/03/2024","17:54:00","00:57:33","0.96","0.00","0.00"
"25/03/2024","12:00:00","25/03/2024","16:01:46","04:01:46","4.03","0.00","0.00"
"24/03/2024","14:44:00","24/03/2024","17:11:00","02:27:00","2.45","0.00","0.00"
"22/03/2024","10:50:00","22/03/2024","15:19:00","04:29:00","4.48","0.00","0.00"
"21/03/2024","11:40:12","21/03/2024","13:57:00","02:16:48","2.28","0.00","0.00"
"20/03/2024","15:15:00","20/03/2024","17:40:31","02:25:31","2.43","0.00","0.00"
"19/03/2024","14:47:00","19/03/2024","15:32:05","00:45:05","0.75","0.00","0.00"
"19/03/2024","12:25:14","19/03/2024","14:47:10","02:21:56","2.37","0.00","0.00"
"18/03/2024","14:24:54","18/03/2024","16:39:53","02:14:59","2.25","0.00","0.00"
"17/03/2024","17:21:54","17/03/2024","18:14:11","00:52:17","0.87","0.00","0.00"
"17/03/2024","13:30:00","17/03/2024","14:40:00","01:10:00","1.17","0.00","0.00"
"16/03/2024","10:55:00","16/03/2024","13:47:00","02:52:00","2.87","0.00","0.00"
"15/03/2024","14:00:00","15/03/2024","16:18:00","02:18:00","2.30","0.00","0.00"
"14/03/2024","14:32:53","14/03/2024","16:38:49","02:05:56","2.10","0.00","0.00"
"13/03/2024","13:24:48","13/03/2024","19:28:23","06:03:35","6.06","0.00","0.00"
"12/03/2024","11:35:00","12/03/2024","18:19:57","06:44:57","6.75","0.00","0.00"
"11/03/2024","14:38:00","11/03/2024","16:33:00","01:55:00","1.92","0.00","0.00"
"10/03/2024","12:51:13","10/03/2024","15:54:53","03:03:40","3.06","0.00","0.00"
"09/03/2024","11:40:15","09/03/2024","14:33:45","02:53:30","2.89","0.00","0.00"
"08/03/2024","12:41:30","08/03/2024","14:22:57","01:41:27","1.69","0.00","0.00"
"07/03/2024","17:40:23","07/03/2024","18:41:42","01:01:19","1.02","0.00","0.00"
"07/03/2024","14:00:00","07/03/2024","17:37:04","03:37:04","3.62","0.00","0.00"
"06/03/2024","12:30:00","06/03/2024","14:30:43","02:00:43","2.01","0.00","0.00"
