m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","groovy","5"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","objective-c","20"
"2008-08-01 00:00:00","haskell","3"
"2008-08-01 00:00:00","c#","503"
"2008-08-01 00:00:00","erlang","3"
"2008-08-01 00:00:00","python","119"
"2008-08-01 00:00:00","lua","1"
"2008-08-01 00:00:00","javascript","163"
"2008-08-01 00:00:00","fortran","1"
"2008-08-01 00:00:00","sql","144"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","ruby","70"
"2008-08-01 00:00:00","shell","19"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","php","157"
"2008-08-01 00:00:00","delphi","13"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","objective-c","50"
"2008-09-01 00:00:00","lua","10"
"2008-09-01 00:00:00","ruby","286"
"2008-09-01 00:00:00","java","1129"
"2008-09-01 00:00:00","clojure","3"
"2008-09-01 00:00:00","scala","6"
"2008-09-01 00:00:00","c++","755"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","haskell","19"
"2008-09-01 00:00:00","shell","65"
"2008-09-01 00:00:00","javascript","634"
"2008-09-01 00:00:00","erlang","13"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","c#","1639"
"2008-09-01 00:00:00","cobol","4"
"2008-09-01 00:00:00","sql","503"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","python","537"
"2008-09-01 00:00:00","php","474"
"2008-09-01 00:00:00","fortran","3"
"2008-09-01 00:00:00","groovy","15"
"2008-10-01 00:00:00","clojure","7"
"2008-10-01 00:00:00","fortran","3"
"2008-10-01 00:00:00","sql","534"
"2008-10-01 00:00:00","ruby","247"
"2008-10-01 00:00:00","shell","65"
"2008-10-01 00:00:00","java","1148"
"2008-10-01 00:00:00","lua","12"
"2008-10-01 00:00:00","python","506"
"2008-10-01 00:00:00","groovy","29"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","c++","807"
"2008-10-01 00:00:00","objective-c","90"
"2008-10-01 00:00:00","erlang","13"
"2008-10-01 00:00:00","php","604"
"2008-10-01 00:00:00","c#","1987"
"2008-10-01 00:00:00","cobol","3"
"2008-10-01 00:00:00","javascript","722"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","scala","7"
"2008-10-01 00:00:00","haskell","9"
"2008-11-01 00:00:00","c","258"
"2008-11-01 00:00:00","python","448"
"2008-11-01 00:00:00","c#","1729"
"2008-11-01 00:00:00","java","954"
"2008-11-01 00:00:00","javascript","580"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","sql","413"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","delphi","140"
"2008-11-01 00:00:00","fortran","4"
"2008-11-01 00:00:00","clojure","8"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","php","497"
"2008-11-01 00:00:00","ruby","157"
"2008-11-01 00:00:00","haskell","22"
"2008-11-01 00:00:00","groovy","19"
"2008-11-01 00:00:00","shell","51"
"2008-11-01 00:00:00","objective-c","106"
"2008-11-01 00:00:00","lua","9"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","erlang","6"
"2008-11-01 00:00:00","cobol","1"
"2008-11-01 00:00:00","scala","5"
"2008-12-01 00:00:00","javascript","625"
"2008-12-01 00:00:00","delphi","133"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","objective-c","123"
"2008-12-01 00:00:00","java","825"
"2008-12-01 00:00:00","c#","1594"
"2008-12-01 00:00:00","fortran","4"
"2008-12-01 00:00:00","php","474"
"2008-12-01 00:00:00","groovy","21"
"2008-12-01 00:00:00","clojure","6"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","haskell","25"
"2008-12-01 00:00:00","sql","423"
"2008-12-01 00:00:00","shell","51"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","lua","6"
"2008-12-01 00:00:00","c++","630"
"2008-12-01 00:00:00","scala","3"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","erlang","12"
"2008-12-01 00:00:00","ruby","159"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","cobol","2"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","lua","9"
"2009-01-01 00:00:00","java","1146"
"2009-01-01 00:00:00","objective-c","143"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","c++","847"
"2009-01-01 00:00:00","c","317"
"2009-01-01 00:00:00","shell","47"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","sql","585"
"2009-01-01 00:00:00","javascript","789"
"2009-01-01 00:00:00","haskell","22"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","c#","2374"
"2009-01-01 00:00:00","fortran","3"
"2009-01-01 00:00:00","scala","12"
"2009-01-01 00:00:00","clojure","7"
"2009-01-01 00:00:00","php","627"
"2009-01-01 00:00:00","groovy","18"
"2009-01-01 00:00:00","erlang","18"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","c","331"
"2009-02-01 00:00:00","clojure","8"
"2009-02-01 00:00:00","perl","163"
"2009-02-01 00:00:00","objective-c","209"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","groovy","20"
"2009-02-01 00:00:00","lua","17"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","c++","841"
"2009-02-01 00:00:00","java","1202"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","scala","12"
"2009-02-01 00:00:00","fortran","5"
"2009-02-01 00:00:00","javascript","945"
"2009-02-01 00:00:00","php","753"
"2009-02-01 00:00:00","sql","669"
"2009-02-01 00:00:00","swift","1"
"2009-02-01 00:00:00","c#","2596"
"2009-02-01 00:00:00","haskell","9"
"2009-02-01 00:00:00","erlang","21"
"2009-02-01 00:00:00","shell","75"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","cobol","5"
"2009-03-01 00:00:00","scala","17"
"2009-03-01 00:00:00","sql","658"
"2009-03-01 00:00:00","c#","3156"
"2009-03-01 00:00:00","shell","85"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","lua","7"
"2009-03-01 00:00:00","fortran","8"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","groovy","30"
"2009-03-01 00:00:00","erlang","19"
"2009-03-01 00:00:00","c++","1046"
"2009-03-01 00:00:00","c","429"
"2009-03-01 00:00:00","perl","137"
"2009-03-01 00:00:00","php","893"
"2009-03-01 00:00:00","swift","1"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","objective-c","291"
"2009-03-01 00:00:00","haskell","18"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","clojure","11"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","javascript","1007"
"2009-03-01 00:00:00","java","1427"
"2009-03-01 00:00:00","cobol","10"
"2009-04-01 00:00:00","python","770"
"2009-04-01 00:00:00","java","1528"
"2009-04-01 00:00:00","objective-c","356"
"2009-04-01 00:00:00","c++","1016"
"2009-04-01 00:00:00","c#","3303"
"2009-04-01 00:00:00","c","455"
"2009-04-01 00:00:00","groovy","30"
"2009-04-01 00:00:00","javascript","1047"
"2009-04-01 00:00:00","haskell","27"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","scala","27"
"2009-04-01 00:00:00","ruby","358"
"2009-04-01 00:00:00","shell","72"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","cobol","10"
"2009-04-01 00:00:00","php","955"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","sql","748"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","fortran","8"
"2009-04-01 00:00:00","clojure","5"
"2009-04-01 00:00:00","lua","8"
"2009-04-01 00:00:00","erlang","14"
"2009-05-01 00:00:00","objective-c","500"
"2009-05-01 00:00:00","sql","844"
"2009-05-01 00:00:00","javascript","1429"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","c++","1214"
"2009-05-01 00:00:00","shell","85"
"2009-05-01 00:00:00","scala","12"
"2009-05-01 00:00:00","clojure","5"
"2009-05-01 00:00:00","ruby","401"
"2009-05-01 00:00:00","cobol","5"
"2009-05-01 00:00:00","haskell","47"
"2009-05-01 00:00:00","java","1813"
"2009-05-01 00:00:00","fortran","14"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","erlang","23"
"2009-05-01 00:00:00","c","481"
"2009-05-01 00:00:00","c#","3548"
"2009-05-01 00:00:00","groovy","33"
"2009-05-01 00:00:00","swift","2"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","lua","18"
"2009-05-01 00:00:00","php","1166"
"2009-06-01 00:00:00","objective-c","490"
"2009-06-01 00:00:00","javascript","1550"
"2009-06-01 00:00:00","c","498"
"2009-06-01 00:00:00","shell","76"
"2009-06-01 00:00:00","python","1042"
"2009-06-01 00:00:00","sql","923"
"2009-06-01 00:00:00","ruby","431"
"2009-06-01 00:00:00","c#","3880"
"2009-06-01 00:00:00","cobol","6"
"2009-06-01 00:00:00","groovy","44"
"2009-06-01 00:00:00","fortran","18"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","clojure","25"
"2009-06-01 00:00:00","c++","1249"
"2009-06-01 00:00:00","java","2110"
"2009-06-01 00:00:00","scala","63"
"2009-06-01 00:00:00","typescript","1"
"2009-06-01 00:00:00","php","1568"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","erlang","33"
"2009-06-01 00:00:00","lua","24"
"2009-06-01 00:00:00","haskell","44"
"2009-06-01 00:00:00","assembly","48"
"2009-07-01 00:00:00","c","538"
"2009-07-01 00:00:00","scala","59"
"2009-07-01 00:00:00","c#","4402"
"2009-07-01 00:00:00","lua","17"
"2009-07-01 00:00:00","fortran","14"
"2009-07-01 00:00:00","python","1157"
"2009-07-01 00:00:00","groovy","36"
"2009-07-01 00:00:00","haskell","33"
"2009-07-01 00:00:00","javascript","1752"
"2009-07-01 00:00:00","objective-c","678"
"2009-07-01 00:00:00","sql","1085"
"2009-07-01 00:00:00","shell","106"
"2009-07-01 00:00:00","erlang","31"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","java","2252"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","ruby","499"
"2009-07-01 00:00:00","r","50"
"2009-07-01 00:00:00","clojure","55"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","c++","1464"
"2009-07-01 00:00:00","php","2006"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","sql","1033"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","erlang","41"
"2009-08-01 00:00:00","java","2184"
"2009-08-01 00:00:00","clojure","29"
"2009-08-01 00:00:00","c#","4443"
"2009-08-01 00:00:00","php","2168"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","scala","72"
"2009-08-01 00:00:00","python","1131"
"2009-08-01 00:00:00","cobol","4"
"2009-08-01 00:00:00","swift","3"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","groovy","52"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c++","1398"
"2009-08-01 00:00:00","objective-c","698"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","lua","31"
"2009-08-01 00:00:00","fortran","13"
"2009-08-01 00:00:00","haskell","48"
"2009-08-01 00:00:00","shell","96"
"2009-09-01 00:00:00","sql","1353"
"2009-09-01 00:00:00","groovy","57"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","fortran","6"
"2009-09-01 00:00:00","lua","27"
"2009-09-01 00:00:00","cobol","6"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","javascript","1756"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c++","1460"
"2009-09-01 00:00:00","php","2247"
"2009-09-01 00:00:00","scala","63"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","c#","4346"
"2009-09-01 00:00:00","haskell","48"
"2009-09-01 00:00:00","python","1169"
"2009-09-01 00:00:00","shell","122"
"2009-09-01 00:00:00","swift","3"
"2009-09-01 00:00:00","erlang","38"
"2009-09-01 00:00:00","java","2257"
"2009-09-01 00:00:00","clojure","29"
"2009-09-01 00:00:00","objective-c","693"
"2009-10-01 00:00:00","c","775"
"2009-10-01 00:00:00","swift","1"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","clojure","59"
"2009-10-01 00:00:00","javascript","2046"
"2009-10-01 00:00:00","python","1417"
"2009-10-01 00:00:00","groovy","53"
"2009-10-01 00:00:00","lua","16"
"2009-10-01 00:00:00","java","2498"
"2009-10-01 00:00:00","scala","100"
"2009-10-01 00:00:00","cobol","3"
"2009-10-01 00:00:00","sql","1478"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","objective-c","748"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","fortran","15"
"2009-10-01 00:00:00","haskell","54"
"2009-10-01 00:00:00","c++","1683"
"2009-10-01 00:00:00","shell","134"
"2009-10-01 00:00:00","erlang","27"
"2009-10-01 00:00:00","c#","4721"
"2009-10-01 00:00:00","ruby","492"
"2009-10-01 00:00:00","php","2339"
"2009-11-01 00:00:00","scala","95"
"2009-11-01 00:00:00","sql","1217"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","cobol","6"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","swift","3"
"2009-11-01 00:00:00","shell","136"
"2009-11-01 00:00:00","haskell","82"
"2009-11-01 00:00:00","java","2757"
"2009-11-01 00:00:00","javascript","2233"
"2009-11-01 00:00:00","python","1552"
"2009-11-01 00:00:00","objective-c","757"
"2009-11-01 00:00:00","clojure","46"
"2009-11-01 00:00:00","c++","1745"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","erlang","65"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","fortran","8"
"2009-11-01 00:00:00","groovy","36"
"2009-11-01 00:00:00","php","2666"
"2009-11-01 00:00:00","c","956"
"2009-11-01 00:00:00","lua","29"
"2009-11-01 00:00:00","assembly","82"
